pre_numero;preco_materia;preco_tipo;preco_precorrequisito
276;299;P;291
1;7;P;4
2;8;P;3
3;9;P;3
4;10;P;5
5;11;P;6
6;12;P;6
7;11;C;12
8;12;C;11
9;13;P;3
10;14;P;7
11;15;P;9
12;17;P;10
13;18;P;12
14;19;P;2
15;18;C;19
16;20;P;13
17;20;P;18
18;20;C;24
19;21;P;15
20;22;P;3
21;22;P;11
22;22;C;23
23;23;P;18
24;23;C;24
25;23;C;22
26;24;P;18
27;24;C;22
28;24;C;25
29;24;C;23
30;25;P;19
31;25;C;24
32;27;P;25
33;27;C;30
34;27;C;29
35;28;P;24
36;28;P;22
37;28;C;27
38;28;C;29
39;29;P;22
40;29;C;31
41;30;P;24
42;30;P;22
43;30;P;23
44;30;C;27
45;30;C;29
46;30;C;31
47;31;P;24
48;31;P;22
49;31;P;23
50;31;C;30
51;31;C;29
52;32;P;1
53;32;P;31
54;33;P;8
55;33;P;21
56;34;P;10
57;35;P;19
58;35;P;31
59;35;C;36
60;36;P;19
61;36;P;27
62;36;C;35
63;37;P;30
64;38;P;28
65;38;P;30
66;38;C;37
67;41;C;43
68;43;C;42
69;45;P;39
70;46;P;43
71;46;C;47
72;47;P;42
73;47;C;48
74;48;P;41
75;49;P;40
76;50;P;44
78;51;P;45
79;53;P;47
80;54;P;46
81;55;C;53
82;56;P;50
83;57;P;51
84;59;P;53
85;59;C;60
86;60;P;55
87;60;C;59
88;61;P;56
89;62;P;49
90;65;P;59
91;66;P;60
92;67;P;59
93;68;P;62
94;69;C;70
95;70;C;71
96;75;C;78
97;76;P;70
98;76;C;79
99;77;C;80
100;78;C;75
101;79;P;71
102;79;C;76
103;80;C;77
104;82;C;84
105;83;C;85
106;84;C;82
107;85;C;83
108;86;P;74
109;88;P;81
110;92;P;73
111;93;P;88
112;95;P;89
113;95;P;90
114;96;P;72
115;98;P;93
116;99;C;100
117;100;C;99
118;107;P;100
119;110;P;101
120;110;C;111
121;111;C;110
122;112;P;102
123;113;P;103
124;114;P;104
125;115;P;105
126;116;P;106
127;117;P;109
128;118;P;111
129;118;C;119
130;119;C;118
131;121;P;112
132;122;P;113
133;123;P;115
134;124;P;116
135;125;P;99
136;126;C;127
137;127;C;128
138;128;P;127
139;128;C;127
140;129;P;120
141;130;P;121
142;131;P;122
143;132;P;123
144;133;P;124
145;166;P;160
146;167;P;160
147;174;P;168
148;182;C;178
149;187;C;183
150;189;C;190
151;190;C;189
152;191;C;195
153;195;C;191
156;198;P;191
157;198;P;195
158;198;C;199
159;199;P;189
160;199;C;198
161;200;P;193
162;201;P;192
164;202;P;190
165;202;P;199
166;203;P;199
168;205;C;206
169;206;C;205
170;207;P;198
171;207;C;208
172;208;P;203
173;208;C;207
174;209;P;202
175;211;P;205
176;213;C;217
154;202;P;199
155;202;P;197
163;202;P;190
177;214;P;207
178;214;C;215
179;215;P;208
180;215;C;214
181;216;P;209
182;217;C;213
183;135;C;140
192;150;C;153
195;158;C;154
199;225;P;220
201;228;P;221
203;229;P;223
205;230;P;227
206;231;P;224
207;232;P;220
208;233;P;234
209;234;P;228
210;234;C;244
211;235;C;237
212;237;P;235
213;238;P;218
214;243;P;239
215;244;P;234
216;245;P;229
217;257;P;247
218;258;P;247
219;259;P;249
220;260;P;251
221;261;P;253
222;263;P;255
223;265;P;258
224;266;P;248
225;267;P;259
226;267;P;250
227;268;P;262
228;268;P;254
229;269;P;265
230;270;P;268
231;271;P;267
232;271;P;252
233;271;P;253
234;271;P;261
235;272;P;263
236;273;P;266
237;274;P;272
238;275;P;263
239;276;P;257
240;276;P;269
241;277;P;260
242;282;C;283
243;282;C;284
244;282;C;285
245;283;C;282
246;283;C;284
247;283;C;285
248;284;C;282
249;284;C;283
250;284;C;285
251;285;C;282
252;285;C;283
253;285;C;284
256;288;P;281
257;289;P;279
258;290;P;280
260;292;C;293
261;292;C;294
262;292;C;295
263;293;C;292
264;293;C;294
265;293;C;295
266;294;C;292
267;294;C;293
268;294;C;295
269;295;C;292
270;295;C;293
271;295;C;294
272;296;P;286
273;297;P;287
187;139;C;139
191;148;C;156
188;143;P;154
194;154;C;155
189;136;C;136
274;298;P;289
277;300;C;301
278;300;C;302
279;300;C;303
280;301;C;300
281;301;C;302
282;301;C;303
283;302;C;301
284;302;C;300
285;302;C;303
286;303;C;301
287;303;C;300
288;303;C;302
289;304;P;296
290;305;P;297
291;306;P;288
292;307;C;308
293;307;C;309
294;307;C;295
295;308;C;307
296;308;C;309
297;308;C;295
298;309;C;307
299;309;C;308
300;309;C;295
301;310;C;307
302;310;C;308
303;310;C;309
304;311;P;304
305;312;P;305
306;313;P;305
193;154;P;136
316;148;P;145
317;149;P;143
318;149;C;148
319;150;P;142
320;152;P;139
321;153;P;142
322;165;P;159
323;166;P;159
324;167;P;159
325;168;P;160
326;170;P;103
327;172;P;166
328;173;P;167
329;174;P;167
330;175;P;166
331;176;P;162
332;177;P;172
333;178;P;173
334;178;C;182
335;179;P;174
336;180;P;175
337;181;P;169
338;183;P;177
339;183;C;187
340;184;P;179
341;185;P;180
342;274;P;161
343;274;P;161
344;274;P;161
345;64;P;32
346;187;P;173
347;25;C;22
167;204;P;201
349;323;P;322
350;98;P;93
315;104;C;146
309;104;C;146
310;143;C;145
308;137;C;137
313;146;C;39
312;104;C;146
311;140;C;140
314;104;C;146
307;104;C;146
